parcel_id,source,country,area_ha,date,scene_id,pixels,tile_cloud,blind,blind_wide,error
ftw-austria-000,fields-of-the-world,austria,0.3188,2023-01-03,S2A_33UUP_20230103_0_L2A,7,99.997813,1.0,1.0,
ftw-austria-000,fields-of-the-world,austria,0.3188,2023-02-14,S2B_33UUP_20230214_0_L2A,7,44.695643,1.0,1.0,
ftw-austria-000,fields-of-the-world,austria,0.3188,2023-03-31,S2A_33UUP_20230331_0_L2A,7,99.397987,1.0,1.0,
ftw-austria-000,fields-of-the-world,austria,0.3188,2023-05-15,S2B_33UUP_20230515_0_L2A,7,99.544746,1.0,1.0,
ftw-austria-000,fields-of-the-world,austria,0.3188,2023-06-29,S2A_33UUP_20230629_0_L2A,7,1.448163,0.0,0.0,
ftw-austria-000,fields-of-the-world,austria,0.3188,2023-08-16,S2B_33UUP_20230816_0_L2A,7,60.778624,0.0,0.0,
ftw-austria-000,fields-of-the-world,austria,0.3188,2023-09-30,S2A_33UUP_20230930_0_L2A,7,64.132899,1.0,1.0,
ftw-austria-000,fields-of-the-world,austria,0.3188,2023-11-16,S2A_33UUP_20231116_0_L2A,7,40.08624,0.0,0.0,
ftw-austria-000,fields-of-the-world,austria,0.3188,2024-01-03,S2B_33UUP_20240103_0_L2A,7,55.713665,1.0,1.0,
ftw-austria-000,fields-of-the-world,austria,0.3188,2024-02-17,S2A_33UUP_20240217_0_L2A,7,97.212166,1.0,1.0,
ftw-austria-000,fields-of-the-world,austria,0.3188,2024-04-02,S2B_33UUP_20240402_0_L2A,7,80.784494,0.0,0.0,
ftw-austria-000,fields-of-the-world,austria,0.3188,2024-05-19,S2B_33UUP_20240519_0_L2A,7,37.945944,0.0,0.0,
ftw-austria-000,fields-of-the-world,austria,0.3188,2024-07-03,S2A_33UUP_20240703_0_L2A,7,86.675429,1.0,1.0,
ftw-austria-000,fields-of-the-world,austria,0.3188,2024-08-20,S2B_33UUP_20240820_0_L2A,7,78.610474,0.0,0.0,
ftw-austria-000,fields-of-the-world,austria,0.3188,2024-10-09,S2B_33UUP_20241009_0_L2A,7,0.034041,0.0,0.0,
ftw-austria-000,fields-of-the-world,austria,0.3188,2024-11-23,S2A_33UUP_20241123_0_L2A,7,59.160525,0.0,0.0,
ftw-austria-001,fields-of-the-world,austria,0.3212,2023-01-03,S2A_33UUP_20230103_0_L2A,8,99.997813,1.0,1.0,
ftw-austria-001,fields-of-the-world,austria,0.3212,2023-02-14,S2B_33UUP_20230214_0_L2A,8,44.695643,1.0,1.0,
ftw-austria-001,fields-of-the-world,austria,0.3212,2023-03-31,S2A_33UUP_20230331_0_L2A,8,99.397987,1.0,1.0,
ftw-austria-001,fields-of-the-world,austria,0.3212,2023-05-15,S2B_33UUP_20230515_0_L2A,8,99.544746,1.0,1.0,
ftw-austria-001,fields-of-the-world,austria,0.3212,2023-06-29,S2A_33UUP_20230629_0_L2A,8,1.448163,0.0,0.0,
ftw-austria-001,fields-of-the-world,austria,0.3212,2023-08-16,S2B_33UUP_20230816_0_L2A,8,60.778624,0.0,0.0,
ftw-austria-001,fields-of-the-world,austria,0.3212,2023-09-30,S2A_33UUP_20230930_0_L2A,8,64.132899,1.0,1.0,
ftw-austria-001,fields-of-the-world,austria,0.3212,2023-11-16,S2A_33UUP_20231116_0_L2A,8,40.08624,0.0,0.0,
ftw-austria-001,fields-of-the-world,austria,0.3212,2024-01-03,S2B_33UUP_20240103_0_L2A,8,55.713665,1.0,1.0,
