parcel_id,source,country,area_ha,date,scene_id,pixels,tile_cloud,blind,blind_wide,error
ftw-austria-000,fields-of-the-world,austria,0.317,2023-01-03,S2A_33UUP_20230103_0_L2A,6,99.997813,1.0,1.0,
ftw-austria-000,fields-of-the-world,austria,0.317,2023-03-01,S2A_33UUP_20230301_0_L2A,6,3.858936,0.0,0.0,
ftw-austria-000,fields-of-the-world,austria,0.317,2023-04-30,S2A_33UUP_20230430_0_L2A,6,64.755267,1.0,1.0,
ftw-austria-000,fields-of-the-world,austria,0.317,2023-06-29,S2A_33UUP_20230629_0_L2A,6,1.448163,0.0,0.0,
ftw-austria-000,fields-of-the-world,austria,0.317,2023-08-31,S2A_33UUP_20230831_0_L2A,6,95.132476,1.0,1.0,
ftw-austria-000,fields-of-the-world,austria,0.317,2023-10-30,S2A_33UUP_20231030_0_L2A,6,99.994946,1.0,1.0,
ftw-austria-000,fields-of-the-world,austria,0.317,2024-01-03,S2B_33UUP_20240103_0_L2A,6,55.713665,1.0,1.0,
ftw-austria-000,fields-of-the-world,austria,0.317,2024-03-03,S2B_33UUP_20240303_0_L2A,6,70.519996,1.0,1.0,
ftw-austria-000,fields-of-the-world,austria,0.317,2024-05-02,S2B_33UUP_20240502_0_L2A,6,65.242606,0.0,0.0,
ftw-austria-000,fields-of-the-world,austria,0.317,2024-07-03,S2A_33UUP_20240703_0_L2A,6,86.675429,1.0,1.0,
ftw-austria-000,fields-of-the-world,austria,0.317,2024-09-06,S2B_33UUP_20240906_0_L2A,6,94.240445,1.0,1.0,
ftw-austria-000,fields-of-the-world,austria,0.317,2024-11-08,S2B_33UUP_20241108_0_L2A,6,98.9021,1.0,1.0,
ftw-austria-001,fields-of-the-world,austria,0.3212,2023-01-03,S2A_33UUP_20230103_0_L2A,8,99.997813,1.0,1.0,
ftw-austria-001,fields-of-the-world,austria,0.3212,2023-03-01,S2A_33UUP_20230301_0_L2A,8,3.858936,0.0,0.0,
ftw-austria-001,fields-of-the-world,austria,0.3212,2023-04-30,S2A_33UUP_20230430_0_L2A,8,64.755267,1.0,1.0,
ftw-austria-001,fields-of-the-world,austria,0.3212,2023-06-29,S2A_33UUP_20230629_0_L2A,8,1.448163,0.0,0.0,
ftw-austria-001,fields-of-the-world,austria,0.3212,2023-08-31,S2A_33UUP_20230831_0_L2A,8,95.132476,1.0,1.0,
ftw-austria-001,fields-of-the-world,austria,0.3212,2023-10-30,S2A_33UUP_20231030_0_L2A,8,99.994946,1.0,1.0,
ftw-austria-001,fields-of-the-world,austria,0.3212,2024-01-03,S2B_33UUP_20240103_0_L2A,8,55.713665,1.0,1.0,
ftw-austria-001,fields-of-the-world,austria,0.3212,2024-03-03,S2B_33UUP_20240303_0_L2A,8,70.519996,1.0,1.0,
ftw-austria-001,fields-of-the-world,austria,0.3212,2024-05-02,S2B_33UUP_20240502_0_L2A,8,65.242606,0.0,0.0,
ftw-austria-001,fields-of-the-world,austria,0.3212,2024-07-03,S2A_33UUP_20240703_0_L2A,8,86.675429,1.0,1.0,
